company_name,official_website,source_provider,confidence_score,selected_rank,status,failure_reason,input_occurrences
Pogo,,google,,,error,search_http_403,1
Render,,google,,,error,search_http_403,1
Listen Labs,,google,,,error,search_http_403,1
Rilla,,google,,,error,search_http_403,1
Blossom,,google,,,error,search_http_403,1
Adaptive Security,,google,,,error,search_http_403,1
Traba,,google,,,error,search_http_403,1
Harmonic,,google,,,error,search_http_403,1
Ambience Healthcare,,google,,,error,search_http_403,1
Tennr,,google,,,error,search_http_403,1
Kalshi,,google,,,error,search_http_403,1
ClickHouse,,google,,,error,search_http_403,1
Statsig,,google,,,error,search_http_403,1
Vivodyne,,google,,,error,search_http_403,1
NewLimit,,google,,,error,search_http_403,1
Apex,,google,,,error,search_http_403,1
Reflect Orbital,,google,,,error,search_http_403,1
Base Power,,google,,,error,search_http_403,1
Sprinter Health,,google,,,error,search_http_403,1
Varda,,google,,,error,search_http_403,1
Ataraxis,,google,,,error,search_http_403,1
Graphite,,google,,,error,search_http_403,1
Temporal,,google,,,error,search_http_403,1
Saronic,,google,,,error,search_http_403,1
Camber,,google,,,error,search_http_403,1
Clay,,google,,,error,search_http_403,1
Graphiant,,google,,,error,search_http_403,1
HighTouch.io,,google,,,error,search_http_403,1
Eclypsium,,google,,,error,search_http_403,1
Stainless,,google,,,error,search_http_403,1
Basis,,google,,,error,search_http_403,1
Speak,,google,,,error,search_http_403,1
Radiant,,google,,,error,search_http_403,1
Infinitus,,google,,,error,search_http_403,1
Nooks,,google,,,error,search_http_403,1
Decagon,,google,,,error,search_http_403,1
World Labs,,google,,,error,search_http_403,1
Safe Superintelligence,,google,,,error,search_http_403,1
Atlys,,google,,,error,search_http_403,1
Cortex,,google,,,error,search_http_403,1
Codeium,,google,,,error,search_http_403,1
Cents,,google,,,error,search_http_403,1
Allium,,google,,,error,search_http_403,1
Ema,,google,,,error,search_http_403,1
Captions,,google,,,error,search_http_403,1
Caldera,,google,,,error,search_http_403,1
Coast,,google,,,error,search_http_403,1
Hebbia,,google,,,error,search_http_403,1
Quantum Circuits,,google,,,error,search_http_403,1
xAI,,google,,,error,search_http_403,1
Alkira,,google,,,error,search_http_403,1
Together,,google,,,error,search_http_403,1
HeyGen,,google,,,error,search_http_403,1
Fireworks AI,,google,,,error,search_http_403,1
Pomelo,,google,,,error,search_http_403,1
Cognition,,google,,,error,search_http_403,1
Ambience,,google,,,error,search_http_403,1
LangChain,,google,,,error,search_http_403,1
Hadrian,,google,,,error,search_http_403,1
Watershed,,google,,,error,search_http_403,1
DUST Identity,,google,,,error,search_http_403,1
Pika,,google,,,error,search_http_403,1
Air Space Intelligence,,google,,,error,search_http_403,1
Squint,,google,,,error,search_http_403,1
Instabase,,google,,,error,search_http_403,1
Axoni,,google,,,error,search_http_403,1
Replit,,google,,,error,search_http_403,1
Memora Health,,google,,,error,search_http_403,1
Mojo Vision,,google,,,error,search_http_403,1
dashbot.io,,google,,,error,search_http_403,1
Zus Health,,google,,,error,search_http_403,1
Shef,,google,,,error,search_http_403,1
Light Field Lab,,google,,,error,search_http_403,1
MindsDB,,google,,,error,search_http_403,1
IgGenix,,google,,,error,search_http_403,1
Mad Street Den,,google,,,error,search_http_403,1
Asimov,,google,,,error,search_http_403,1
Synchron,,google,,,error,search_http_403,1
Ostro,,google,,,error,search_http_403,1
arketa,,google,,,error,search_http_403,1
SpinLaunch,,google,,,error,search_http_403,1
Fathom,,google,,,error,search_http_403,1
Atmos,,google,,,error,search_http_403,1
Imagine Impact,,google,,,error,search_http_403,1
AMP Robotics,,google,,,error,search_http_403,1
Landis,,google,,,error,search_http_403,1
Viome,,google,,,error,search_http_403,1
Golden,,google,,,error,search_http_403,1
Workstream,,google,,,error,search_http_403,1
Kumo,,google,,,error,search_http_403,1
GlossGenius,,google,,,error,search_http_403,1
Knoetic,,google,,,error,search_http_403,1
Patch,,google,,,error,search_http_403,1
Carbyne,,google,,,error,search_http_403,1
Ori,,google,,,error,search_http_403,1
Isovalent,,google,,,error,search_http_403,1
Alloy,,google,,,error,search_http_403,1
Incredible Health,,google,,,error,search_http_403,1
Truework,,google,,,error,search_http_403,1
MarqVision,,google,,,error,search_http_403,1
Sprig,,google,,,error,search_http_403,1
Retool,,google,,,error,search_http_403,1
Paragon,,google,,,error,search_http_403,1
CAMP4 Therapeutics,,google,,,error,search_http_403,1
Tecton.AI,,google,,,error,search_http_403,1
WiredScore,,google,,,error,search_http_403,1
Tomorrow Health,,google,,,error,search_http_403,1
Pave,,google,,,error,search_http_403,1
Courier,,google,,,error,search_http_403,1
Fountain,,google,,,error,search_http_403,1
Middesk,,google,,,error,search_http_403,1
Cambly,,google,,,error,search_http_403,1
Metawave,,google,,,error,search_http_403,1
Belong,,google,,,error,search_http_403,1
Mirvie,,google,,,error,search_http_403,1
Vivun,,google,,,error,search_http_403,1
Instabug,,google,,,error,search_http_403,1
Unit,,google,,,error,search_http_403,1
Turquoise Health,,google,,,error,search_http_403,1
Primer,,google,,,error,search_http_403,1
Doppler,,google,,,error,search_http_403,1
Mutiny,,google,,,error,search_http_429,1
Octant Bio,,google,,,error,search_http_403,1
Playbook,,google,,,error,search_http_429,1
One More Game,,google,,,error,search_http_429,1
Built Robotics,,google,,,error,search_http_403,1
Lilt,,google,,,error,search_http_403,1
Ellevest,,google,,,error,search_http_403,1
Skiff,,google,,,error,search_http_429,1
Flock Homes,,google,,,error,search_http_429,1
Jeeves,,google,,,error,search_http_429,1
Subject,,google,,,error,search_http_429,1
Deepcell,,google,,,error,search_http_429,1
Webflow,,google,,,error,search_http_429,1
SmithRx,,google,,,error,search_http_403,1
Hermeus,,google,,,error,search_http_429,1
Propel,,google,,,error,search_http_429,1
Disco,,google,,,error,search_http_403,1
Apollo.io,,google,,,error,search_http_429,1
BillionToOne,,google,,,error,search_http_429,1
Fabric,,google,,,error,search_http_429,1
Promise,,google,,,error,search_http_403,1
AnyRoad,,google,,,error,search_http_429,1
Secureframe,,google,,,error,search_http_429,1
WorkWhile,,google,,,error,search_http_429,1
PopSQL,,google,,,error,search_http_429,1
Homebound,,google,,,error,search_http_429,1
Wander,,google,,,error,search_http_429,1
